MODULE 0 — MƯỜI QUY TẮC CỦA XƯỞNG SÁNG TẠO,,,,
"Mười quy tắc, mỗi quy tắc một video ngắn 45 giây tới 1 phút. Học trước khi vào Module 1. Phần này chỉ để trẻ hiểu và xem qua, chưa cần thực hành, nên chưa có điểm chặn và Xưởng thực hành. Xem xong cả mười thì in bộ Quy tắc, trẻ ký tên, phụ huynh ký làm chứng, dán bàn học.",,,,
PHẦN 1 — TỔNG THỂ,,,,
Bài,Tên bài,Voice Gen,Mục tiêu của bài,Kỹ năng trẻ học được
QT1,"Hãy nghĩ ý tưởng của cậu, rồi mới chia sẻ với AKI nhé!",,"Trẻ hiểu thứ tự đúng là nghĩ trước rồi mới hỏi AI, không phải ngược lại.",Dừng lại ba mươi giây để nghĩ và viết ra ý của mình trước khi mở AI.
QT2,"Nội dung là do cậu viết, hãy đảm bảo viết xong mới gửi cho AKI!",,"Trẻ hiểu lời văn, lời chúc, lời thoại là phần việc của trẻ, không phải của AI.","Hãy viết những nội dung, lời chúc, lời văn, lời thoại mong muốn, AI sẽ giúp trẻ trang trí sau."
QT3,Sản phẩm mà cậu tạo ra phải có giá trị cho ai đó nhé!,,"Trẻ hiểu làm ra thứ gì thì cũng phải có người dùng nó, hoặc có giá trị sử dụng.","Trả lời được câu hỏi làm cho ai, làm để làm gì trước khi bắt tay vào làm."
QT4,Cậu phải luôn chia sẻ được vì sao cậu chọn ý tưởng này!,,Trẻ tập thói quen giải thích lựa chọn của mình bằng lời.,Chia sẻ được một câu bắt đầu bằng tớ chọn cái này vì.
QT5,"Không để AKI làm 1 mình, hãy chia việc ra nhé!",,Trẻ phân biệt được phần việc của mình và phần việc của AI trong một sản phẩm.,Chia việc thành hai cột trước khi bắt đầu.
QT6,"Để bảo vệ cậu và mọi người, hình ảnh cá nhân là điều hạn chế nhé!",,"Trẻ hiểu vì sao không đưa ảnh mặt người vào AI, và biết ảnh nào thì được dùng.","Nhận ra loại ảnh nào được đưa vào AI, loại nào chỉ được dán vào khung."
QT7,Hãy tôn trọng sự thật & đưa những thông tin chính xác!,,"Trẻ biết AI có thể nói sai mà vẫn nói rất chắc chắn, nên phải kiểm lại.","Nhận ra ba chỗ AI hay sai, và biết hỏi lại người lớn khi không chắc."
QT8,"Nếu AKI làm chưa tốt, cậu hãy thử sửa mô tả, đừng chỉ bấm nhé!",,"Trẻ hiểu bấm lại là vô ích, và biết ba bước sửa lời tả.","Gọi tên lỗi, tìm chỗ thiếu trong câu tả, viết thêm rồi mới tạo."
QT9,Hãy luôn kiểm tra và đọc kỹ lại những gì AKI viết ra!,,Trẻ có thói quen đọc lại một lượt trước khi in hoặc gửi đi.,Đọc to lại một lần trước khi dùng.
QT10,"Bài tập ở trường là của cậu, đừng bắt AKI phải làm nhé!",,Trẻ hiểu ranh giới giữa nhờ giảng cho hiểu và nhờ làm hộ.,Phân biệt được câu hỏi nhờ giảng và câu hỏi nhờ làm hộ.
