MODULE 1 — NHÀ THÁM HIỂM AI,,,,,,,
"Cậu tạo được hình ảnh đơn lẻ đúng ý mình. Sản phẩm: cuốn sổ sưu tầm 12–16 hình, dán tay, có bìa và tên. Câu chốt: tả càng rõ, AKI vẽ càng đúng.",,,,,,,
,,,,,,,
PHẦN 1 — TỔNG THỂ,,,,,,,
Bài,Tên bài,Mục tiêu của bài,Kỹ năng trẻ học được,,Trong Xưởng thực hành,Học liệu tạo ra,Trẻ hoàn thành
1.1,Một từ hay năm từ?,Trẻ đưa ra được câu lệnh đầu tiên cho AKI.,Tạo câu lệnh chuẩn.,,Chọn một con vật cậu thích. Viết một từ rồi tạo. Viết lại đủ năm chi tiết rồi tạo.,"Hai bức ảnh đầu tiên, in ra dán cạnh nhau ở 1 Hàng của Trang Poster","Từ bức ảnh hoàn thành, trẻ chỉ ra được chỗ nào là do AKI tự nghĩ thêm."
1.2,Bốn chiếc chìa khoá,Trẻ viết được một câu lệnh có đủ bốn phần.,"Công thức bốn ô: cái gì, trông như thế nào, đang làm gì, ở đâu",,"Chọn bốn đồ vật thật trong nhà, cầm lên nhìn kỹ, điền bốn ô cho từng cái rồi tạo.","Bốn bức ảnh đồ vật trong nhà, hàng hai và ba của tấm Poster.",Trẻ nhìn một câu lệnh bất kỳ và chỉ ra được nó đang thiếu ô nào.
1.3,Úm ba la... Biến hình,Trẻ chọn được kiểu vẽ hợp với ý mình và nói được lý do.,"Thêm phong cách vào cuối câu lệnh, gọi tên được kiểu vẽ, kích thước,...",,"Một con vật, tạo theo bốn phong cách, chọn lấy một bản và ghi lý do bằng chữ hoặc bằng giọng.",Bốn bức cùng nội dung khác phong cách. Trang trí vào Hàng tiếp theo.,"Lý do trẻ đưa ra gắn với việc trẻ định dùng bức đó làm gì, không dừng ở chữ đẹp."
1.4,Kỹ sư tài ba,Trẻ sửa được câu lệnh thay vì bấm lại.,"Ba bước: gọi tên lỗi, tìm chỗ thiếu trong câu lệnh, viết thêm rồi mới tạo.",,"Chọn một bức hỏng/ bức lỗi/ chưa ưng ý của mình, viết chú thích hỏng vì sao, sửa câu lệnh, tạo lại một bản ưng ý hơn. Làm bìa và đặt tên cho BST đó","Tấm Poster hoàn chỉnh có Tên BST, đây là sản phẩm Module 1.","Trẻ giải thích được bức của mình hỏng/ lỗi/ chưa ưng vì sao, bằng câu có chữ vì AKI không tả."
PHẦN 2 — CHI TIẾT KỊCH BẢN VIDEO  ·  mỗi bài một video 7 phút,,,,,,,
Bài,Phân đoạn,Thời lượng,Lời thoại AKI,Voice Gen (có tag),CẦN TẠO,GHI CHÚ,
Bài 1.1 — Một từ hay năm từ?,,,,,,,
1.1,1. INTRO,0:00–0:15,"Xưởng sáng tạo Ây ai Kít mở cửa rồi! Xin chào các cậu, tớ là AKI, chú mèo máy thông minh nhì quả đất này. Cùng đến với bài học đầu tiên của chủ đề NHÀ THÁM HIỂM ÂY AI: Một từ hay năm từ?","[excited] Xưởng sáng tạo Ây ai Kít mở cửa rồi! [giggles] Xin chào các cậu, tớ là AKI, chú mèo máy thông minh nhì quả đất này. [cheerful] Cùng đến với bài học đầu tiên của chủ đề NHÀ THÁM HIỂM ÂY AI: [curious] Một từ hay năm từ?","Intro Mèo AIKI mở cửa, và  bắt đầu chia sẻ, có POP UP Text",,
,2. HOOK,0:15–0:50,Sáng nay cô chủ nhỏ Mimi của tớ dậy sớm lắm. Vì bạn ý muốn vẽ một con mèo. Con... mèo. Xong! Ơ. Đây là con mèo. Đúng là con mèo rồi đấy. Nhưng mà... con mèo trong đầu bạn ấy không phải con này. Các cậu ơi. Các cậu nghĩ bạn ấy làm sai ở chỗ nào nhỉ?,[cheerful] Sáng nay cô chủ nhỏ Mimi của tớ dậy sớm lắm. [playful] Vì bạn ý muốn vẽ một con mèo. [deliberate] Con... mèo. [excited] Xong! [surprised] Ơ. [thoughtful] Đây là con mèo. Đúng là con mèo rồi đấy. [confused] Nhưng mà... con mèo trong đầu bạn ấy không phải con này. [gentle] Các cậu ơi. [curious] Các cậu nghĩ bạn ấy làm sai ở chỗ nào nhỉ?, Tình huống,,
,3. XEM MẪU,0:50–2:00,"AKI cho các cậu xem cái này nhé. Bên trái là con mèo tớ vừa làm ra, vì MIMI chỉ gõ đúng hai chữ thôi: con mèo. Còn bên phải này. Cùng một buổi sáng, cũng là MIMI. Bạn ý gõ: con mèo mướp béo đang ngủ trên ghế mây cạnh cửa sổ. Các cậu thấy khác nhau chưa? Hai bức đều là mèo cả. Nhưng rõ ràng bức bên phải đẹp hơn và đúng con mèo mà MIMI nghĩ luôn. Mình đếm thử xem có mấy điều nhé. Mèo mướp, một. Béo, hai. Đang ngủ, ba. Trên ghế mây, bốn. Cạnh cửa sổ, năm. Năm điều. Còn bên trái thì chỉ có một. MIMI một điều thì tớ phải đoán bốn phần còn lại. Nói năm điều thì tớ chẳng phải đoán gì cả.","[excited] AKI cho các cậu xem cái này nhé. [calm] Bên trái là con mèo tớ vừa làm ra, vì MIMI chỉ gõ đúng hai chữ thôi: con mèo. [curious] Còn bên phải này. [cheerful] Cùng một buổi sáng, cũng là MIMI. [deliberate] Bạn ý gõ: con mèo mướp béo đang ngủ trên ghế mây cạnh cửa sổ. [curious] Các cậu thấy khác nhau chưa? [thoughtful] Hai bức đều là mèo cả. [amazed] Nhưng rõ ràng bức bên phải đẹp hơn và đúng con mèo mà MIMI nghĩ luôn. [playful] Mình đếm thử xem có mấy điều nhé. [deliberate] Mèo mướp, một. Béo, hai. Đang ngủ, ba. Trên ghế mây, bốn. Cạnh cửa sổ, năm. [emphasized] Năm điều. [calm] Còn bên trái thì chỉ có một. [thoughtful] MIMI một điều thì tớ phải đoán bốn phần còn lại. [proud] Nói năm điều thì tớ chẳng phải đoán gì cả.","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,
