MODULE 2 — TỚ LÀ HOẠ SĨ AI!,,,,,,,,
"Cậu tạo được một bức tranh có nội dung và cảm xúc, không chỉ là hình đẹp. Sản phẩm: một bức A3 có tên tranh và hai câu cậu viết. Câu chốt: bức tranh đẹp là bức tranh kể được một chuyện.",,,,,,,,
,,,,,,,,
PHẦN 1 — TỔNG THỂ,,,,,,,,
Bài,Tên bài,Mục tiêu của bài,Kỹ năng trẻ học được,,Điểm chặn,Trong Xưởng thực hành,Học liệu tạo ra,Trẻ hoàn thành
2.1,Bức tranh biết nói,Trẻ kể được câu chuyện ẩn trong một bức tranh.,Nhìn ra ba dấu hiệu của một bức tranh biết kể chuyện.,,Buổi duy nhất không có công cụ tạo. Toàn bộ nút tạo bị ẩn hẳn chứ không phải khoá.,"Xem bốn bức, kể chuyện từng bức bằng giọng nói, rồi đoán bức nào do AI vẽ.","Bản ghi âm cậu kể chuyện, đưa vào nhật ký tuần gửi phụ huynh.","Cậu kể được chuyện có mở đầu và có diễn biến, không chỉ liệt kê thứ nhìn thấy trong tranh."
2.2,Ai là ngôi sao?,"Trẻ sắp xếp được nhân vật chính, nhân vật phụ và nền trong một bức.","Bốn từ chỉ bố cục: tiền cảnh, ở giữa, phía sau, góc trái góc phải.",,"Chưa nộp ảnh chụp bàn xếp giấy thì ô câu lệnh chưa mở. Làm bằng tay trước, AKI làm sau.","Cắt ba hình giấy, xếp ba lớp trên bàn, chụp ảnh nộp, rồi mới tả đúng thứ tự đó cho AKI.","Ảnh bàn xếp giấy và bức AKI tạo, dán cạnh nhau để đối chiếu.",Cậu chỉ ra được chỗ nào bức AKI khớp với bàn của mình và chỗ nào lệch.
2.3,Cảm xúc của Sắc màu,Trẻ chọn được ánh sáng theo đúng cảm xúc mình muốn truyền.,"Chọn cảm xúc trước, chọn tông ánh sáng sau.",,Chưa chọn cảm xúc thì bốn tông ánh sáng chưa hiện ra.,"Lấy cảnh của mình, chọn một cảm xúc, tạo cùng cảnh đó với bốn tông ánh sáng, ghi cảm nhận rồi chọn một.","Bốn bức cùng cảnh khác ánh sáng, dán vào sổ.","Bức cậu chọn khớp với cảm xúc cậu chọn từ đầu, không phải chọn bức nhìn đẹp nhất."
2.4,Mảnh ghép hoàn hảo,"Trẻ hoàn thành một bức tranh, đặt tên và kể được nội dung.","Gộp ba kỹ năng đã học là câu lệnh bốn ô, bố cục và ánh sáng. Cộng thêm kỹ năng đặt tên tranh.",,Chưa trả lời đủ ba câu chấm bằng giọng nói thì nút In A3 chưa mở.,"Làm bức của mình, đặt tên, viết hai câu về chuyện trong tranh, trả lời ba câu chấm rồi mới in.","Bức tranh A3 in ra, đóng khung, treo tường. Có nhãn ghi công. Đây là sản phẩm Module 2.","Tên tranh nói thêm được một điều không nhìn thấy trong tranh, chứ không mô tả lại cái đã thấy."
PHẦN 2 — CHI TIẾT KỊCH BẢN VIDEO  ·  mỗi bài một video 7 phút,,,,,,,,
Bài,Phân đoạn,Thời lượng,Lời thoại AKI,Voice Gen (có tag),CẦN TẠO,GHI CHÚ,,
Bài 2.1 — Bức tranh biết nói,,,,,,,,
1.1,1. INTRO,0:00–0:15,"Xưởng sáng tạo Ây ai Kít mở cửa rồi! Xin chào các cậu, tớ là AKI, chú mèo máy thông minh nhì quả đất này. Hôm nay chúng mình bước vào một chủ đề mới: TỚ LÀ HOẠ SĨ AI. Bài đầu tiên có tên là Bức tranh biết nói. ","[excited] Xưởng sáng tạo AIKID mở cửa rồi! [giggles] Xưởng sáng tạo Ây ai Kít mở cửa rồi! Xin chào các cậu, tớ là AKI, chú mèo máy thông minh nhì quả đất này.  [cheerful] Hôm nay chúng mình đến với chủ đề TỚ LÀ HOẠ SĨ ÂY AI. [curious] Bài đầu tiên: Bức tranh biết nói.","Intro Mèo AIKI mở cửa, và  bắt đầu chia sẻ, có POP UP Text",,,
,2. TÌNH HUỐNG,0:15–1:15,"Hôm trước Nabi ngồi tạo ra rất nhiều bức tranh, bức nào cũng đẹp lung linh. Nhưng xem xong một lúc, Nabi chẳng nhớ nổi bức nào.
Ấy thế mà bên nhà bà ngoại của Nabi, có những tấm ảnh cũ trên tường. Có 1 Ảnh hơi mờ, màu đã ngả vàng, một góc còn bị gấp. Nabi hỏi: “Ảnh này chụp gì thế ạ?” Thế là cả nhà bắt đầu kể. Hôm ấy trời mưa rất to. Bố đang chạy đi lấy áo mưa. Một chiếc dép bị nước cuốn mất. Còn chú chó thì trốn dưới gầm ghế vì sợ sấm.
Nabi ngồi nghe mãi mà câu chuyện vẫn chưa hết. Lúc ấy Nabi mới hiểu: tấm ảnh ấy chẳng đẹp bằng những bức tranh cậu ấy vừa xem, nhưng nó làm người ta muốn nhìn lâu hơn, vì trong đó có một câu chuyện.","[cheerful] Hôm trước Nabi tự ngồi tạo ra rất nhiều bức tranh, bức nào cũng đẹp lung linh. [sighs] Nhưng xem xong một lúc, Nabi  chẳng nhớ nổi bức nào.
[thoughtful] Ấy thế mà bên nhà bà ngoại của cậu ấy, có một tấm ảnh cũ trên tường. [calm] Ảnh hơi mờ, màu đã ngả vàng, một góc còn bị gấp. [curious] Nabi  hỏi: “Ảnh này chụp gì thế ạ?” [cheerful] Thế là cả nhà bắt đầu kể. [dramatic] Hôm ấy trời mưa rất to. Bố đang chạy đi lấy áo mưa. [surprised] Một chiếc dép bị nước cuốn mất. [playful] Còn chú chó thì trốn dưới gầm ghế vì sợ sấm.
[amazed]  Nabi ngồi nghe mãi mà câu chuyện vẫn chưa hết. [thoughtful] Lúc ấy cậu ấy mới hiểu: [warm] tấm ảnh ấy chẳng đẹp bằng những bức tranh Nabi vừa xem, nhưng nó làm người ta muốn nhìn lâu hơn, vì trong đó có một câu chuyện.", Tình huống,,,
,3. XEM MẪU + DẠY 1 KỸ NĂNG,1:15–3:00,"Vậy làm thế nào để nhìn một bức tranh mà tìm ra được chuyện? Tớ có một mẹo rất dễ nhớ. Chỉ cần hỏi ba câu thôi:
ĐANG LÀM GÌ? — CÓ GÌ LẠ? — RỒI SAO?
Câu thứ nhất: ĐANG LÀM GÌ? Hãy tìm xem nhân vật trong tranh đang làm gì. Không phải chỉ đứng cười hay nhìn vào máy ảnh đâu nhé. Có thể bạn ấy đang trèo lên ghế, đang chạy, đang với tay lấy một món đồ, hay đang giấu thứ gì đó sau lưng. Khi nhân vật đang làm một việc, câu chuyện bắt đầu chuyển động.
Câu thứ hai: CÓ GÌ LẠ? Hãy nhìn quanh xem có chi tiết nào khiến các cậu phải thắc mắc không. Một cái ghế bị đổ. Dấu chân bùn chạy vào trong nhà. Cốc nước bị đổ. Một chiếc dép nằm giữa phòng. Cánh cửa mở nhưng chẳng thấy ai. Những chi tiết lạ ấy chính là manh mối để mình đoán chuyện gì vừa xảy ra.
Câu cuối cùng: RỒI SAO? Hãy thử đoán xem chuyện gì sẽ xảy ra tiếp theo. Bạn ấy có lấy được món đồ không? Ai vừa chạy ra khỏi cửa? Con mèo đang trốn ai? Nếu nhìn một bức tranh mà trong đầu các cậu tự bật ra câu “Rồi sao nữa?”, thì bức tranh ấy đã bắt đầu biết kể chuyện rồi đấy.
Nào, đọc lại cùng tớ nhé: Đang làm gì? Có gì lạ? Rồi sao?","[curious] Vậy làm thế nào để nhìn một bức tranh mà tìm ra được chuyện? [mischievous] Tớ có một mẹo rất dễ nhớ. [deliberate] Chỉ cần hỏi ba câu thôi:
[emphasized] ĐANG LÀM GÌ? — CÓ GÌ LẠ? — RỒI SAO?
[deliberate] Câu thứ nhất: ĐANG LÀM GÌ? [curious] Hãy tìm xem nhân vật trong tranh đang làm gì. [playful] Không phải chỉ đứng cười hay nhìn vào máy ảnh đâu nhé. [excited] Có thể bạn ấy đang trèo lên ghế, đang chạy, đang với tay lấy một món đồ, hay đang giấu thứ gì đó sau lưng. [thoughtful] Khi nhân vật đang làm một việc, câu chuyện bắt đầu chuyển động.
[deliberate] Câu thứ hai: CÓ GÌ LẠ? [curious] Hãy nhìn quanh xem có chi tiết nào khiến các cậu phải thắc mắc không. [surprised] Một cái ghế bị đổ. Dấu chân bùn chạy vào trong nhà. Cốc nước bị đổ. Một chiếc dép nằm giữa phòng. [gasps] Cánh cửa mở nhưng chẳng thấy ai. [thoughtful] Những chi tiết lạ ấy chính là manh mối để mình đoán chuyện gì vừa xảy ra.
[deliberate] Câu cuối cùng: RỒI SAO? [curious] Hãy thử đoán xem chuyện gì sẽ xảy ra tiếp theo. Bạn ấy có lấy được món đồ không? [surprised] Ai vừa chạy ra khỏi cửa? Con mèo đang trốn ai? [encouraging] Nếu nhìn một bức tranh mà trong đầu các cậu tự bật ra câu “Rồi sao nữa?”, thì bức tranh ấy đã bắt đầu biết kể chuyện rồi đấy.
[excited] Nào, đọc lại cùng tớ nhé: [emphasized] Đang làm gì? Có gì lạ? Rồi sao?","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,,
