MODULE 3 — BIỆT ĐỘI NHÂN VẬT AI,,,,,,,,
"Cậu có một nhân vật riêng, nhất quán, dùng lại được suốt phần còn lại của khoá. Sản phẩm: thẻ nhân vật hai mặt in ra. Câu chốt: nhân vật hay không phải vì đẹp, mà vì có tính cách.",,,,,,,,
,,,,,,,,
PHẦN 1 — TỔNG THỂ,,,,,,,,
Bài,Tên bài,Mục tiêu của bài,Kỹ năng trẻ học được,,Điểm chặn,Trong Xưởng thực hành,Học liệu tạo ra,Trẻ hoàn thành
3.1,Hồ sơ biệt đội,Trẻ viết được hồ sơ tính cách trước khi có bất kỳ hình nào.,"Sáu câu hồ sơ: tên gì, thích gì, sợ gì, giỏi gì, dở gì, ước mơ gì.",,Cả bài không tồn tại nút tạo hình nào. Dev không được thêm vào.,Điền sáu ô hồ sơ. Đọc to cho một người trong nhà nghe và hỏi họ hình dung bạn ấy trông thế nào.,"Hồ sơ nhân vật sáu ô, chính là mặt sau của thẻ nhân vật.","Ô sợ và ô dở có nội dung cụ thể, không bỏ trống và không viết chung chung."
3.2,Mật mã nhận diện,Trẻ chọn được ba đặc điểm nhận dạng cố định cho nhân vật.,Khái niệm nhất quán nhân vật.,,"Mỗi ô đặc điểm phải từ năm từ trở lên mới mở nút tạo, để chặn kiểu tả sơ sài.","Chọn và tả ba đặc điểm thật cụ thể, viết vào bản Luật vẽ nhân vật, ký tên, rồi tạo hình chân dung đầu tiên.",Bản Luật vẽ nhân vật của em có chữ ký. Hình chân dung chính cho mặt trước thẻ.,Ba đặc điểm đều nhìn thấy được từ xa và tả được bằng lời.
3.3,Biến hoá biểu cảm,Trẻ tạo được sáu biểu cảm mà nhân vật vẫn là một người.,Giữ nhất quán qua nhiều hình bằng cách khoá ba đặc điểm vào mọi câu lệnh.,,"Lượt tạo tính theo ô, sáu ô riêng, không tính theo lần bấm.","Tạo sáu biểu cảm, tự soi từng hình theo bản Luật, hình nào bị trôi thì sửa câu lệnh và làm lại.",Sáu biểu cảm cho mặt trước thẻ. Hình hỏng đưa vào Bảo tàng thất bại kèm chú thích.,Cậu tự bắt được ít nhất một hình bị trôi mà không cần ai chỉ.
3.4,Căn cứ bí mật của biệt đội,Trẻ dựng được nơi ở và đồ vật riêng cho nhân vật.,Câu lệnh hai tầng: nhân vật đã khoá cộng bối cảnh dùng từ bố cục của Module 2.,,"Bối cảnh bắt buộc dùng lại nhân vật đã khoá, không cho tạo nhân vật mới.","Tạo nơi ở, một đồ vật riêng, một người bạn, thêm ba tư thế. Ghép tất cả vào thẻ nhân vật hai mặt.","Thẻ nhân vật in ra, cắt, ép plastic. Đây là sản phẩm Module 3 và là tài sản dùng lại cả khoá.",Ba lựa chọn về nhà đều khớp với hồ sơ sáu ô cậu đã viết ở bài 3.1.
PHẦN 2 — CHI TIẾT KỊCH BẢN VIDEO,,,,,,,,
Bài 3.1 — HỒ SƠ BIỆT ĐỘI,,,,,,,,
1.1,1. INTRO,0:00–0:15,"Xưởng sáng tạo Ây Ai Kít mở cửa rồi! Xin chào các cậu, tớ là AKI, chú mèo máy thông minh nhì quả đất này. Hôm nay chúng mình bước vào 1 chủ đề siêu mới: BIỆT ĐỘI NHÂN VẬT AI. Bài đầu tiên có tên là Hồ sơ biệt đội.
Mà báo trước nhé: hôm nay không có nút tạo hình. Các cậu sẽ viết trước. Vì những gì viết hôm nay sẽ quyết định nhân vật của các cậu là ai trong suốt cả chương.","[excited] Xưởng sáng tạo Ây Ai Kít mở cửa rồi! [giggles] Xin chào các cậu, tớ là AKI, chú mèo máy thông minh nhì quả đất này. [cheerful] Hôm nay chúng mình bước vào 1 chủ đề siêu mới: BIỆT ĐỘI NHÂN VẬT AI. [curious] Bài đầu tiên có tên là Hồ sơ biệt đội.
[mischievous] Mà báo trước nhé: hôm nay không có nút tạo hình. [serious] Các cậu sẽ viết trước. [emphasized] Vì những gì viết hôm nay sẽ quyết định nhân vật của các cậu là ai trong suốt cả chương.","Intro Mèo AIKI mở cửa, và  bắt đầu chia sẻ, có POP UP Text",,,
,2. TÌNH HUỐNG,0:15–1:15,"Hôm trước Neko tham gia một cuộc thi thiết kế nhân vật. Bạn ấy đã nhờ tớ tạo: “Một siêu anh hùng nhí, áo choàng đỏ, đứng trên nóc nhà lúc hoàng hôn.” Ối, đẹp lắm. Nhưng đến vòng trong, ban giám khảo hỏi: “Bạn này tên gì? Sợ gì? Dở nhất việc gì?” Neko không trả lời được. Lúc ấy tớ mới hiểu: nhân vật nhìn rất ngầu, nhưng tớ chỉ biết bạn ấy mặc áo choàng đỏ, chứ chưa biết bạn ấy là người như thế nào.","[calm] Hôm trước Neko tham gia một cuộc thi thiết kế nhân vật. [curious] Bạn ấy đã nhờ tớ tạo: “Một siêu anh hùng nhí, áo choàng đỏ, đứng trên nóc nhà lúc hoàng hôn.” [amazed] Ối, đẹp lắm. [surprised] Nhưng đến vòng trong, ban giám khảo hỏi: “Bạn này tên gì? Sợ gì? Dở nhất việc gì?” [disappointed] Neko không trả lời được. [thoughtful] Lúc ấy tớ mới hiểu: nhân vật nhìn rất ngầu, nhưng tớ chỉ biết bạn ấy mặc áo choàng đỏ, chứ chưa biết bạn ấy là người như thế nào.", Tình huống,,,
,3. XEM MẪU + DẠY 1 KỸ NĂNG,1:15–3:00,"Tớ cho các cậu gặp một nhân vật khác nhé. Bạn ấy tên là Tép, một chú chuột nhỏ tai hơi lệch.
Tép thích nhặt nắp chai rồi xếp theo màu. Tép sợ đi ngang cái cống. Tép rất giỏi nhớ đường, nhưng cực dở buộc dây giày. Và Tép mơ một ngày được đi hết một con đường chưa ai từng đi hết.
Giờ đố các cậu: giữa siêu anh hùng áo choàng đỏ và Tép, bạn nào dễ nghĩ ra câu chuyện hơn?
Tép, đúng không?
Vì chúng mình đã biết tính cách của Tép.
Vậy kỹ năng hôm nay là: VIẾT HỒ SƠ TRƯỚC – VẼ HÌNH SAU.
Hồ sơ chỉ có sáu ô: Tên gì – Thích gì – Sợ gì – Giỏi gì – Dở gì – Ước mơ gì.
Trong đó, đừng bỏ trống hai ô Sợ và Dở. Nhân vật mà cái gì cũng giỏi, chẳng sợ gì thì chuyện gì cũng giải quyết được ngay. Thế thì còn gì để kể nữa.
Và nhớ viết thật cụ thể. Đừng chỉ viết “sợ nhiều thứ”. Thử viết “sợ tiếng máy sấy tóc” hay “dở nhớ tên người”. Càng riêng thì nhân vật càng dễ nhớ.","[cheerful] Tớ cho các cậu gặp một nhân vật khác nhé. [warm] Bạn ấy tên là Tép, một chú chuột nhỏ tai hơi lệch.
[playful] Tép thích nhặt nắp chai rồi xếp theo màu. [worried] Tép sợ đi ngang cái cống. [proud] Tép rất giỏi nhớ đường, nhưng cực dở buộc dây giày. [gentle] Và Tép mơ một ngày được đi hết một con đường chưa ai từng đi hết.
[curious] Giờ đố các cậu: giữa siêu anh hùng áo choàng đỏ và Tép, bạn nào dễ nghĩ ra câu chuyện hơn?
[playful] Tép, đúng không?
[warm] Vì chúng mình đã biết tính cách của Tép.
[emphasized] Vậy kỹ năng hôm nay là: VIẾT HỒ SƠ TRƯỚC – VẼ HÌNH SAU.
[deliberate] Hồ sơ chỉ có sáu ô: Tên gì – Thích gì – Sợ gì – Giỏi gì – Dở gì – Ước mơ gì.
[serious] Trong đó, đừng bỏ trống hai ô Sợ và Dở. [thoughtful] Nhân vật mà cái gì cũng giỏi, chẳng sợ gì thì chuyện gì cũng giải quyết được ngay. [sighs] Thế thì còn gì để kể nữa.
[encouraging] Và nhớ viết thật cụ thể. Đừng chỉ viết “sợ nhiều thứ”. [deliberate] Thử viết “sợ tiếng máy sấy tóc” hay “dở nhớ tên người”. [emphasized] Càng riêng thì nhân vật càng dễ nhớ.","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,,
,4. LÀM CÙNG,3:00–4:00,"Giờ tớ điền thử hồ sơ của Tép nhé.
Tên: Tép. Thích: nhặt nắp chai. Sợ: đi ngang cái cống. Giỏi: nhớ đường. Ước mơ: đi hết một con đường chưa ai từng đi hết.
Còn ô Dở?
Tớ suýt viết: “Tép không dở gì cả.”
Ơ khoan. Thế là tớ đang biến Tép thành một nhân vật hoàn hảo mất rồi.
Tớ sửa lại: Tép dở buộc dây giày, lúc nào cũng bị tuột.
Chỉ một dòng thôi mà tớ đã nghĩ ra ngay một cảnh: Tép đang chạy thì dây giày tuột, vấp ngã, hộp nắp chai bay thẳng về phía cái cống mà bạn ấy sợ nhất.
Thấy chưa? Một điểm yếu nhỏ có thể mở ra cả một câu chuyện.","[cheerful] Giờ tớ điền thử hồ sơ của Tép nhé.
[deliberate] Tên: Tép. Thích: nhặt nắp chai. Sợ: đi ngang cái cống. Giỏi: nhớ đường. Ước mơ: đi hết một con đường chưa ai từng đi hết.
[curious] Còn ô Dở?
[thoughtful] Tớ suýt viết: “Tép không dở gì cả.”
[surprised] Ơ khoan. [worried] Thế là tớ đang biến Tép thành một nhân vật hoàn hảo mất rồi.
[determined] Tớ sửa lại: Tép dở buộc dây giày, lúc nào cũng bị tuột.
[excited] Chỉ một dòng thôi mà tớ đã nghĩ ra ngay một cảnh: [dramatic] Tép đang chạy thì dây giày tuột, vấp ngã, hộp nắp chai bay thẳng về phía cái cống mà bạn ấy sợ nhất.
[proud] Thấy chưa? [warm] Một điểm yếu nhỏ có thể mở ra cả một câu chuyện.","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,,
