MODULE 4 — VƯƠNG QUỐC TRUYỆN TRANH AI,,,,,,,,
"Cậu viết được một câu chuyện có cốt rồi biến nó thành cuốn truyện tranh in được. Sản phẩm: truyện tranh tám trang có bìa, đóng gáy được. Câu chốt: AKI vẽ được truyện, nhưng cậu mới là người nghĩ ra câu chuyện.",,,,,,,,
,,,,,,,,
PHẦN 1 — TỔNG THỂ,,,,,,,,
Bài,Tên bài,Mục tiêu của bài,Kỹ năng trẻ học được,,Điểm chặn,Trong Xưởng thực hành,Học liệu tạo ra,Trẻ hoàn thành
4.1,3 Cổng của Vương Quốc,Trẻ kể miệng được một chuyện có đủ ba phần.,"Ba phần: bình thường, có chuyện, giải quyết.",,"AKI chỉ được hỏi ngược. Danh sách câu hỏi cố định, hard-code, tuyệt đối không gọi model tự do.","Kể miệng chuyện của nhân vật mình rồi ghi âm. Nghe lại bản ghi, tự sửa, kể lần hai.","Bản ghi âm lần hai, đưa vào nhật ký tuần.","Trong bản ghi có một thứ gì đó hỏng, mất hoặc lạc, chứ không chỉ là kể lại một chuỗi việc."
4.2,4 Chặng thử thách,Trẻ viết được khung xương truyện bốn dòng.,"Bốn dòng: muốn gì, gì cản, làm cách nào, kết ra sao.",,"Nút tạo hình vẫn khoá, hiện chữ mở ở bài 4.4.","Điền bốn dòng cho nhân vật lấy từ Module 3. Đọc to lên, chỗ nào lỏng thì sửa.","Khung xương truyện, chính là bản thiết kế cho storyboard ở bài sau.","Dòng cái gì cản có nội dung thật, tốt nhất là lấy từ ô dở trong hồ sơ nhân vật."
4.3,Bản đồ 8 Ô - Phần 1: Mở,"Trẻ chia được chuyện thành tám khung, mỗi khung một việc.",Storyboard vẽ tay bằng hình que.,,Điểm chặn lớn nhất cả khoá. Chưa nộp ảnh tám ô vẽ tay thì bài 4.4 không mở. Phải test với năm trẻ thật trước khi phát hành.,"Vẽ tay đủ tám ô hình que trên giấy, viết một câu dưới mỗi ô, chụp ảnh nộp.",Tờ storyboard vẽ tay của cậu. Dùng làm nền đối chiếu suốt bài 4.4.,"Đủ tám ô, mỗi ô đúng một việc, và có câu mô tả dưới từng ô."
4.4,Bản đồ 8 Ô - Phần 2: Khoá,Trẻ tả được từng khung mà nhân vật vẫn giữ nguyên qua cả tám hình.,"Câu lệnh theo storyboard, khoá ba đặc điểm nhân vật vào mọi khung.",,"Lượt tạo tính theo khung, tám khung là tám ô riêng. Tính theo lần bấm là trẻ hết lượt ở khung năm.","Tạo đủ tám khung theo đúng storyboard tay, soi từng khung, khung nào trôi thì sửa câu lệnh.","Tám khung truyện, chính là ruột cuốn truyện tranh.",Tám khung xếp đúng thứ tự storyboard và nhân vật nhận ra được ở cả tám khung.
4.5,Vương miện hoàn hảo,Trẻ viết được toàn bộ lời thoại và hoàn thành cuốn truyện.,Đặt chữ lên hình. Đặt tên truyện.,,Màn này không gọi model. Không có nút gợi ý lời thoại. Tối đa hai bong bóng mỗi khung.,"Tự viết hết lời thoại tám khung, đặt tên truyện, làm bìa, xuất file, in, gấp, đóng gáy.","Cuốn truyện tranh tám trang có bìa, đóng gáy được, có tên tác giả. Đây là sản phẩm Module 4.","Mọi câu thoại đều do cậu viết, và bìa có nhãn ghi công đầy đủ."
PHẦN 2 — CHI TIẾT KỊCH BẢN VIDEO,,,,,,,,
Bài 4.1 — 3 CỔNG CỦA VƯƠNG QUỐC,,,,,,,,
1.1,1. INTRO,0:00–0:15,"Xưởng sáng tạo Ây Ai Kít mở cửa rồi! Xin chào các cậu, lại là tớ đây, chú mèo máy thông minh nhì quả đất này. Các cậu có muốn tạo ra được truyện tranh của riêng mình không? Hôm nay chúng mình bước vào chủ đề mới: VƯƠNG QUỐC TRUYỆN TRANH AI. Bài đầu tiên có tên là Ba cổng của Vương Quốc.","[excited] Xưởng sáng tạo Ây Ai Kít mở cửa rồi! [cheerful] Xin chào các cậu, lại là tớ đây, chú mèo máy thông minh nhì quả đất này. [curious] Các cậu có muốn tạo ra được truyện tranh của riêng mình không? [excited] Hôm nay chúng mình bước vào chủ đề mới: VƯƠNG QUỐC TRUYỆN TRANH AI. [emphasized] Bài đầu tiên có tên là Ba cổng của Vương Quốc.","Intro Mèo AIKI mở cửa, và  bắt đầu chia sẻ, có POP UP Text",,,
,2. TÌNH HUỐNG,0:15–1:15,"Hôm qua Bona kể cho tớ nghe chuyện về Chíp: “Chíp thức dậy. Chíp ăn sáng. Chíp ra sân chơi. Chíp ăn trưa. Chíp về nhà. Chíp đi ngủ. Hết.” Ơ... nghe xong tớ cứ thấy thiếu thiếu. Mọi việc đều đúng, nhưng chẳng có chuyện gì đặc biệt xảy ra cả. Các cậu thấy đây giống một câu chuyện hay giống danh sách những việc Bum làm trong ngày hơn?","[cheerful] Hôm qua Bona kể cho tớ nghe chuyện về Chíp: [deliberate] “Chíp thức dậy. Chíp ăn sáng. Chíp ra sân chơi. Chíp ăn trưa. Chíp về nhà. Chíp đi ngủ. Hết.” [confused] Ơ... nghe xong tớ cứ thấy thiếu thiếu. [thoughtful] Mọi việc đều đúng, nhưng chẳng có chuyện gì đặc biệt xảy ra cả. [curious] Các cậu thấy đây giống một câu chuyện hay giống danh sách những việc Bum làm trong ngày hơn?", Tình huống,,,
,3. XEM MẪU + DẠY 1 KỸ NĂNG,1:15–3:00,"Tớ bảo Bona thử kể lại. Lần này khác đi rồi: Chip mang quả bóng yêu thích ra sân chơi như mọi hôm. Đang chơi thì quả bóng lăn qua một khe nhỏ rồi mắc ở phía bên kia hàng rào. Chíp thử với chân, thử chui qua nhưng đều không được. Cuối cùng, Chíp tìm một cành cây dài, khều quả bóng trở lại. À! Lần này nghe giống một câu chuyện rồi đấy.
Vì câu chuyện vừa rồi đã đi qua BA CỔNG. Cổng một: BÌNH THƯỜNG — lúc đầu nhân vật đang làm gì? Cổng hai: CÓ CHUYỆN — điều gì bất ngờ xảy ra? Cổng ba: GIẢI QUYẾT — nhân vật làm gì để xử lý và cuối cùng ra sao? Chỉ cần nhớ: Bình thường – Có chuyện – Giải quyết.
Hôm nay tớ cũng có một luật: tớ không được nghĩ câu chuyện thay các cậu. Nếu các cậu bí, tớ sẽ chỉ gợi ý: “Rồi sao nữa?”, “Lúc ấy bạn ấy cảm thấy thế nào?”, “Cuối cùng thì sao?” Vì câu chuyện hay nhất phải bắt đầu từ ý tưởng của chính các cậu.","[cheerful] Tớ bảo Bona thử kể lại. [playful] Lần này khác đi rồi: Chip mang quả bóng yêu thích ra sân chơi như mọi hôm. [surprised] Đang chơi thì quả bóng lăn qua một khe nhỏ rồi mắc ở phía bên kia hàng rào. [worried] Chíp thử với chân, thử chui qua nhưng đều không được. [relieved] Cuối cùng, Chíp tìm một cành cây dài, khều quả bóng trở lại. [proud] À! Lần này nghe giống một câu chuyện rồi đấy.
[excited] Vì câu chuyện vừa rồi đã đi qua BA CỔNG. [deliberate] Cổng một: BÌNH THƯỜNG — lúc đầu nhân vật đang làm gì? [curious] Cổng hai: CÓ CHUYỆN — điều gì bất ngờ xảy ra? [determined] Cổng ba: GIẢI QUYẾT — nhân vật làm gì để xử lý và cuối cùng ra sao? [emphasized] Chỉ cần nhớ: Bình thường – Có chuyện – Giải quyết.
[serious] Hôm nay tớ cũng có một luật: tớ không được nghĩ câu chuyện thay các cậu. [gentle] Nếu các cậu bí, tớ sẽ chỉ gợi ý: “Rồi sao nữa?”, “Lúc ấy bạn ấy cảm thấy thế nào?”, “Cuối cùng thì sao?” [warm] Vì câu chuyện hay nhất phải bắt đầu từ ý tưởng của chính các cậu.","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,,
