MODULE 5 — NHÀ PHÁT MINH TRÒ CHƠI AI,,,,,,,,
"Cậu thiết kế được một bộ thẻ và một trò chơi công bằng, chơi được thật. Sản phẩm: mười hai thẻ, bàn cờ, bản luật, đã chơi ít nhất một ván với gia đình. Câu chốt: trò chơi hay là trò chơi công bằng.",,,,,,,,
,,,,,,,,
PHẦN 1 — TỔNG THỂ,,,,,,,,
Bài,Tên bài,Mục tiêu của bài,Kỹ năng trẻ học được,,Điểm chặn,Trong Xưởng thực hành,Học liệu tạo ra,Trẻ hoàn thành
6.1,Săn lùng Bộ sưu tập,Trẻ chọn được chủ đề và liệt kê đủ mười hai thứ.,"Chọn chủ đề riêng, và gỡ bí bằng cách đi hỏi đi nhìn chứ không hỏi AI.",,Phải có ô chủ đề riêng. Chỉ đưa bốn gợi ý sẵn là app đang gợi ý hộ.,"Chọn chủ đề, liệt kê mười hai thứ, đọc lại xem có cái nào trùng hay nhạt thì đổi.","Bảng mười hai dòng, là đầu vào cho hai bài sau.","Đủ mười hai thứ, cùng một họ, và chủ đề do cậu chọn chứ không phải AI gợi."
6.2,Phù phép Mặt thẻ,Trẻ thiết kế mặt thẻ và cho điểm sao cho công bằng.,Cân bằng tổng điểm ba chỉ số.,,"Chưa cân đủ mười hai lá thì bài 6.3 chưa mở. Có chế độ dễ cho lớp ba, cho sẵn ba bộ số để chọn.","Thiết kế mười hai lá gồm tên, ba chỉ số có tổng bằng nhau, và một kỹ năng riêng tự viết.",Bảng mười hai lá đã cân bằng.,"Tổng ba chỉ số của cả mười hai lá bằng nhau, và cậu tự tính hoặc tự chọn bộ số."
6.3,Khoá thẻ,Trẻ tạo được mười hai hình cùng một phong cách.,"Công thức nền chung, app tự dán vào mọi câu lệnh, cậu chỉ gõ phần riêng.",,"Sinh lại quá hai lần cho một thẻ thì chặn cứng, buộc phải sửa câu lệnh.","Viết công thức nền, tạo mười hai hình, soi cả bộ tìm lá lạc, sửa rồi ghép vào khuôn thẻ.",Mười hai thẻ in trên ba trang A4 có đường cắt.,"Cả bộ nhìn như một, không còn lá nào lạc phong cách."
6.4,Luật chơi,Trẻ viết được bộ luật rõ ràng và biết sửa nó sau khi chơi thử.,"Năm phần của một bộ luật: mấy người, ai đi trước, mỗi lượt làm gì, so thẻ thế nào, khi nào thắng.",,"Nút nhờ viết lại cho rõ chỉ mở khi ô đã có chữ của cậu. Model bị giới hạn ở mức viết lại, không thêm ý.","Viết đủ năm phần, chơi thử một ván với người nhà, ghi lại chỗ cãi nhau, sửa luật rồi in.",Bản luật chơi in ra.,"Bộ luật có chỗ đã sửa sau khi chơi thử, không phải bản viết một lần là xong."
6.5,Đấu trường khai mở,Trẻ hoàn thiện bộ game và chơi thật với gia đình.,Thiết kế bàn cờ bốn thành phần và vỏ hộp gấp được.,,Module chỉ đóng khi đã nộp clip chơi thật. Sản phẩm chỉ tính là hoàn thành khi đã chơi.,"Thiết kế bàn cờ và vỏ hộp, in, cắt, gấp, chơi một ván thật với cả nhà, quay ba mươi giây.","Bàn cờ A3, vỏ hộp gấp được, mười hai thẻ. Đây là sản phẩm Module 6.","Có clip chơi thật với người nhà, và ô đặc biệt trên bàn cờ do cậu tự nghĩ ra."
PHẦN 2 — CHI TIẾT KỊCH BẢN VIDEO,,,,,,,,
Bài 5.1 — SĂN LÙNG BỘ SƯU TẬP,,,,,,,,
1.1,1. INTRO,0:00–0:15,"Xưởng sáng tạo Ây Ai Kít mở cửa rồi! Xin chào các cậu, lại là tớ đây, chú mèo máy thông minh nhì quả đất này. Hôm nay chúng mình bước vào chương cuối: NHÀ PHÁT MINH TRÒ CHƠI AI. Bài đầu tiên có tên Săn lùng bộ sưu tập. Các cậu sẽ bắt đầu bằng việc tìm ra 12 thứ thật thú vị để làm bộ thẻ của riêng mình.","[excited] Xưởng sáng tạo Ây Ai Kít mở cửa rồi! [cheerful] Xin chào các cậu, lại là tớ đây, chú mèo máy thông minh nhì quả đất này. [proud] Hôm nay chúng mình bước vào chương cuối: NHÀ PHÁT MINH TRÒ CHƠI AI. [curious] Bài đầu tiên có tên Săn lùng bộ sưu tập. [encouraging] Các cậu sẽ bắt đầu bằng việc tìm ra 12 thứ thật thú vị để làm bộ thẻ của riêng mình.","Intro Mèo AIKI mở cửa, và  bắt đầu chia sẻ, có POP UP Text",,,
,2. TÌNH HUỐNG,0:15–1:15,"Hôm trước Nami muốn làm một bộ thẻ nhưng nghĩ mãi chẳng biết chọn gì. Bạn ấy hỏi tớ: “AKI ơi, cho tớ vài chủ đề hay đi!” Tớ đưa ra khủng long, vũ trụ, siêu anh hùng... Nami chọn khủng long. Nhưng đến ngày cả lớp mang thẻ ra đổi, ôi thôi, rất nhiều bạn cũng có khủng long. Bộ nào cũng đẹp mà nhìn cứ na ná nhau. Vì khi mình hỏi một câu quá chung chung, tớ rất dễ đưa ra những ý tưởng quen thuộc. Muốn có bộ thẻ của riêng mình, ý tưởng đầu tiên phải bắt đầu từ chính các cậu.","[calm] Hôm trước Nami muốn làm một bộ thẻ nhưng nghĩ mãi chẳng biết chọn gì. [curious] Bạn ấy hỏi tớ: “AKI ơi, cho tớ vài chủ đề hay đi!” [cheerful] Tớ đưa ra khủng long, vũ trụ, siêu anh hùng... Nami chọn khủng long. [surprised] Nhưng đến ngày cả lớp mang thẻ ra đổi, ôi thôi, rất nhiều bạn cũng có khủng long. [disappointed] Bộ nào cũng đẹp mà nhìn cứ na ná nhau. [thoughtful] Vì khi mình hỏi một câu quá chung chung, tớ rất dễ đưa ra những ý tưởng quen thuộc. [encouraging] Muốn có bộ thẻ của riêng mình, ý tưởng đầu tiên phải bắt đầu từ chính các cậu.", Tình huống,,,
,3. XEM MẪU + DẠY 1 KỸ NĂNG,1:15–3:00,"Thử một bộ khác nhé: 12 món ở hàng tạp hoá gần nhà Nami. Gói mì, lọ dầu gió, kẹp tóc, bao diêm, chai nước mắm, cây kem, hộp phấn, tờ vé số, con quay nhựa... Nghe đã thấy khác rồi đúng không? Vì đó là những thứ Nami nhìn thấy mỗi ngày. Người khác cũng có thể làm bộ thẻ về hàng tạp hoá, nhưng khó có bộ nào giống hệt của Nami.

Vậy kỹ năng hôm nay là: TÌM CHỦ ĐỀ CỦA RIÊNG MÌNH. Bí ý tưởng thì đừng ngồi nhìn màn hình mãi. Hãy đứng dậy và đi nhìn. Nhìn trong bếp, ngăn kéo của bà, góc bàn học, con ngõ trước nhà hay những món đồ trong cặp. Các cậu cũng có thể đi hỏi bố mẹ, ông bà hoặc một người bạn. Có rất nhiều ý tưởng đang ở ngay quanh mình mà trước giờ mình chưa để ý.","[playful] Thử một bộ khác nhé: 12 món ở hàng tạp hoá gần nhà Nami. [deliberate] Gói mì, lọ dầu gió, kẹp tóc, bao diêm, chai nước mắm, cây kem, hộp phấn, tờ vé số, con quay nhựa... [curious] Nghe đã thấy khác rồi đúng không? [warm] Vì đó là những thứ Nami nhìn thấy mỗi ngày. [thoughtful] Người khác cũng có thể làm bộ thẻ về hàng tạp hoá, nhưng khó có bộ nào giống hệt của Nami.

[emphasized] Vậy kỹ năng hôm nay là: TÌM CHỦ ĐỀ CỦA RIÊNG MÌNH. [encouraging] Bí ý tưởng thì đừng ngồi nhìn màn hình mãi. [determined] Hãy đứng dậy và đi nhìn. [deliberate] Nhìn trong bếp, ngăn kéo của bà, góc bàn học, con ngõ trước nhà hay những món đồ trong cặp. [cheerful] Các cậu cũng có thể đi hỏi bố mẹ, ông bà hoặc một người bạn. [warm] Có rất nhiều ý tưởng đang ở ngay quanh mình mà trước giờ mình chưa để ý.","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,,
