MODULE 0 — THỬ TÀI PHẢN XẠ · 10 QUY TẮC CỦA XƯỞNG SÁNG TẠO,,,,,
Bố cục mỗi bài: PHẦN 1 — Xem video  ·  PHẦN 2 — Thử tài phản xạ (2 câu hỏi). Đáp án đúng đánh dấu ✔.,,,,,
,,,,,
STT,MÃ,TÊN QUY TẮC,LINK VIDEO,CÂU HỎI THỬ TÀI PHẢN XẠ,HÌNH ẢNH MINH HOẠ (cắt từ video)
1,QT1,"Hãy nghĩ ý tưởng của cậu, rồi mới chia sẻ với AKI nhé!",https://youtu.be/opYm3mvrnqI,"CÂU 1. Cô giáo ra đề vẽ siêu anh hùng CỦA RIÊNG mỗi bạn. Vì sao bức tranh nguệch ngoạc của Sonet lại đúng yêu cầu hơn?

A. Vì Sonet vẽ nhanh hơn Zico
B. Vì đó là ý riêng của Sonet  ✔ ĐÁP ÁN
C. Vì bức của Sonet nhiều màu hơn

✅ Đúng: Chuẩn rồi! Đúng yêu cầu không phải là đẹp hơn, mà là KHÔNG GIỐNG AI.
💡 Sai: Chưa đúng nhé. Bức của Zico đẹp nhưng rất quen — ai gõ AI cũng ra được. Bức của Sonet mới là của riêng bạn ấy.",https://drive.google.com/file/d/1clH4Pdi8kGVwzxW1Kh2cGnleCi0Boqgw/view?usp=drive_link
,,,,"CÂU 2. Vì sao cứ gõ cho AKI câu “siêu anh hùng ngầu” thì hay ra những nhân vật giống hệt nhau?

A. Vì AKI vẽ xấu
B. Vì AKI lấy ngay cái quen thuộc nhất trong kho hình có sẵn   ✔ ĐÁP ÁN
C. Vì máy chạy chậm

✅ Đúng: Đúng! Câu tả chung chung thì AKI chỉ lấy được cái ai cũng nghĩ tới.
💡 Sai: Chưa đúng. AKI có cả kho hình trong đầu, gõ chung chung là nó lấy cái quen thuộc nhất — nên ai cũng ra giống nhau.",https://drive.google.com/file/d/1OxqYxs5isNVhE1EAdlGGiauJHFNuLwC8/view?usp=drive_link
2,QT2,"Nội dung là do cậu viết, hãy đảm bảo viết xong mới gửi cho AKI!",https://youtu.be/_8Ig_cX25-4,"CÂU 1. Tờ giấy TÌM CHÓ LẠC viết đúng chính tả, dán khắp phố, vậy mà không ai nhận ra Bông. Vì sao?

A. Vì chữ trên tờ giấy nhỏ quá
B. Vì thiếu chi tiết riêng của Bông: chuông vàng ở cổ, chân sau đi khập khiễng   ✔ ĐÁP ÁN
C. Vì tờ giấy dán sai chỗ

✅ Đúng: Chính xác! Đúng chính tả chưa đủ — phải có chi tiết chỉ riêng Bông mới có.
💡 Sai: Chưa đúng nhé. Người đi qua đọc xong, nhìn xuống con chó nâu ngay cạnh chân rồi vẫn bỏ đi — vì tờ giấy không tả gì riêng của Bông.",https://drive.google.com/file/d/1NVOMdFbjVk1-Jn8y97ETbVp8yYjjMyzM/view?usp=drive_link
,,,,"CÂU 2. Trong tờ tìm chó ấy, phần nào là việc của cậu, phần nào là việc của AKI?

A. Trẻ viết chi tiết riêng của Bông — AKI giúp trang trí cho tờ giấy đẹp   ✔ ĐÁP ÁN
B. AKI viết hết tất cả từ chi tiết Bông cho đến vẽ giấy, trẻ chỉ việc đem đi dán
C. Trẻ chỉ chọn màu cho đẹp thôi, còn chữ và ý tưởng cứ để AKI lo

✅ Đúng: Đúng rồi! Nội dung là của các cậu, AKI chỉ giúp phần trang trí.
💡 Sai: Chưa đúng. AKI viết được câu đúng ngữ pháp, nhưng nó không biết Bông đi khập khiễng — chỉ các cậu mới biết.",https://drive.google.com/file/d/1-owyTz8zmzqoAahwprWvqTZUi58_9TGN/view?usp=drive_link
3,QT3,Sản phẩm mà cậu tạo ra phải có giá trị cho ai đó nhé!,https://youtu.be/c-QyfBspnlY,"CÂU 1. Hai trăm tấm hình đẹp long lanh bị mẹ lắc đầu, còn một tấm thẻ chẳng đẹp bằng lại được bà giữ suốt hai năm. Vì sao?

A. Vì tấm thẻ được in to hơn
B. Vì bà cần dùng nó mỗi ngày   ✔ ĐÁP ÁN
C. Vì tấm thẻ nhiều màu hơn

✅ Đúng: Đúng! Thứ có người cần — dù chỉ một người — mới được giữ lại.
💡 Sai: Chưa đúng nhé. Không phải to hơn hay đẹp hơn, mà là có người thật sự dùng tới nó.",https://drive.google.com/file/d/1EG0WweHB6er6WTdCvkSnoWkw31uHLY0y/view?usp=drive_link
,,,,"CÂU 2. Trước khi bắt tay làm tấm thẻ, Mimi đã làm một việc rất quan trọng. Đó là việc gì?

A. Bấm tạo thật nhiều hình rồi chọn tấm đẹp nhất
B. Hỏi bà một câu: bà ơi, bà hay quên cái gì nhất ạ?   ✔ ĐÁP ÁN
C. Hỏi AKI xem nên làm gì

✅ Đúng: Chuẩn! Hỏi trước — làm cho ai, để làm gì — rồi mới bắt tay vào làm.
💡 Sai: Chưa đúng. Mimi hỏi bà trước, biết bà hay quên số điện thoại, nên mới làm tấm thẻ ghi số chữ thật to.",https://drive.google.com/file/d/1MaZrtyvq9JnvOOqR8qMuV8WVaTr2mzAo/view?usp=drive_link
4,QT4,Cậu phải luôn chia sẻ được vì sao cậu chọn ý tưởng này!,https://youtu.be/hYA-syKR58c,"CÂU 1. Hai bức tranh đẹp như nhau, cô giáo hỏi “vì sao con chọn thế này?”. Ai mới là người trả lời được câu đó?

A. AKI
B. Chính các bạn nhỏ   ✔ ĐÁP ÁN

✅ Đúng: Đúng rồi! Chỉ con mới biết vì sao con chọn.
💡 Sai: Chưa đúng nhé. AKI làm ra được màu vàng, nhưng nó không biết bà của con mặc áo màu gì.",https://drive.google.com/drive/u/0/folders/1W7UbpUS2KwJm4YUm7DveXMGv-YP-Akz_
,,,,"CÂU 2. Sonet đã trả lời như thế nào mà cả hội trường vỗ tay?

A. Tớ chọn màu vàng, vì màu vàng đẹp nhất
B. Tớ chọn màu vàng, vì cái áo bà tớ hay mặc màu vàng   ✔ ĐÁP ÁN
C. Tớ chọn màu vàng, vì AKI gợi ý thế

✅ Đúng: Chính xác! Chỉ cần một câu “tớ chọn cái này vì...” là bức tranh thành của riêng con.
💡 Sai: Chưa đúng. Câu của Sonet gắn với một điều thật trong nhà bạn ấy — cái áo vàng của bà.",https://drive.google.com/drive/u/0/folders/1W7UbpUS2KwJm4YUm7DveXMGv-YP-Akz_
5,QT5,"Không để AKI làm 1 mình, hãy chia việc ra nhé!",https://youtu.be/zOth3oOcJ4U,"CÂU 1. Zico nhờ AKI làm bức tranh từ đầu đến cuối. Đến lúc ghi tên thì bút không chịu ăn mực. Vì sao?

A. Vì cái bút bị hỏng
B. Vì Zico để AKI làm hết, chẳng còn phần việc nào là của bạn ấy   ✔ ĐÁP ÁN
C. Vì tấm bảng tên bị ướt

✅ Đúng: Đúng! Làm phần nào thì mới ghi tên được phần đó.
💡 Sai: Chưa đúng nhé. Bút vẫn tốt — chỉ là cả bức tranh không có phần việc nào của Zico cả.",https://drive.google.com/file/d/1JghYrkioFKoD5RBjHKQ0V_bTDILIAPi4/view?usp=drive_link
,,,,"CÂU 2. Sau khi chia lại việc, phần nào là của Zico?

A. Vẽ nền và tô màu
B. Nghĩ ý tưởng, chọn màu, viết chữ trong tranh   ✔ ĐÁP ÁN
C. Không phần nào cả, AKI vẫn làm hết

✅ Đúng: Chuẩn rồi! Cậu một cột, AKI một cột — rồi ghi cả hai tên.
💡 Sai: Chưa đúng. Vẽ nền với tô màu là phần của AKI; ý tưởng, chọn màu và viết chữ mới là phần của Zico.",https://drive.google.com/file/d/1MsBlT7hWYEuiIk1l-wLER_H7tCLjyNXV/view?usp=drive_link
